publication,firstName,lastName,networkId,rank
https://scholars.uow.edu.au/display/publication101555,Aaron,Oakley,aarono,10
https://scholars.uow.edu.au/display/publication101555,Nicholas,Dixon,nickd,7
https://scholars.uow.edu.au/display/publication101555,Slobodan,Jergic,jergic,4
https://scholars.uow.edu.au/display/publication101555,Jenny,Beck,jbeck,8
https://scholars.uow.edu.au/display/publication101555,Michael,Kelso,mkelso,9
https://scholars.uow.edu.au/display/publication42531,Allen,Nutman,anutman,5
https://scholars.uow.edu.au/display/publication108884,Chao,Deng,chao,3
https://scholars.uow.edu.au/display/publication108884,Xu-Feng,Huang,xhuang,2
https://scholars.uow.edu.au/display/publication128708,Stephen,Palmisano,stephenp,7
https://scholars.uow.edu.au/display/publication64793,Thomas,Madsen,madsen,7
https://scholars.uow.edu.au/display/publication39265,Jung Ho,Kim,jhk,3
https://scholars.uow.edu.au/display/publication39265,Shi,Dou,shi,6
https://scholars.uow.edu.au/display/publication39265,S,Dou,shi,6
https://scholars.uow.edu.au/display/publication38756,Haibo,Yu,hyu,1
https://scholars.uow.edu.au/display/publication73729,Jason,McArthur,jasonm,5
https://scholars.uow.edu.au/display/publication117787,Andrew,Nattestad,anattest,4
https://scholars.uow.edu.au/display/publication117787,Attila,Mozer,attila,8
https://scholars.uow.edu.au/display/publication109068,Judy,Mullan,jmullan,2
https://scholars.uow.edu.au/display/publication109068,Kylie,Mansfield,kylie,3
https://scholars.uow.edu.au/display/publication109068,Kelly,Lambert,klambert,1
https://scholars.uow.edu.au/display/publication84952,Allen,Nutman,anutman,1
https://scholars.uow.edu.au/display/publication30084,Helen,McGregor,mcgregor,2
https://scholars.uow.edu.au/display/publication108850,Faisal,Hai,faisal,2
https://scholars.uow.edu.au/display/publication108850,Long,Nghiem,longn,5
https://scholars.uow.edu.au/display/publication108850,Will,Price,wprice,4
https://scholars.uow.edu.au/display/publication108850,William,Price,wprice,4
https://scholars.uow.edu.au/display/publication69544,Marijka,Batterham,marijka,4
https://scholars.uow.edu.au/display/publication69544,Francesca,Fernandez-Enright,fernande,5
https://scholars.uow.edu.au/display/publication69544,Elizabeth,Neale,elizan,1
https://scholars.uow.edu.au/display/publication69544,Linda,Tapsell,ltapsell,6
https://scholars.uow.edu.au/display/publication69544,Yasmine,Probst,yasmine,3
https://scholars.uow.edu.au/display/publication80180,Lasantha,Meegahapola,lasantha,2
https://scholars.uow.edu.au/display/publication111372,Rute,Santos,rutes,9
https://scholars.uow.edu.au/display/publication119930,Md Rabiul,Islam,mrislam,4
https://scholars.uow.edu.au/display/publication92395,Huijun,Li,huijun,3
https://scholars.uow.edu.au/display/publication92395,Hui,Li,huijun,3
https://scholars.uow.edu.au/display/publication92395,Anh,Tieu,ktieu,5
https://scholars.uow.edu.au/display/publication92395,Lihong,Su,lihongsu,1
https://scholars.uow.edu.au/display/publication92395,Guanyu,Deng,gdeng,4
https://scholars.uow.edu.au/display/publication92395,Cheng,Lu,chenglu,2
https://scholars.uow.edu.au/display/publication53272,Samantha,Reis,sreis,1
https://scholars.uow.edu.au/display/publication120847,Reetu,Verma,reetu,2
https://scholars.uow.edu.au/display/publication92921,Alison,Smith,alismith,4
https://scholars.uow.edu.au/display/publication92921,Brian,Cullis,bcullis,1
https://scholars.uow.edu.au/display/publication105383,AHM Mehbub,Anwar,amanwar,1
https://scholars.uow.edu.au/display/publication105383,Ahm,Anwar,amanwar,1
https://scholars.uow.edu.au/display/publication50394,Fenghui,Ren,fren,1
https://scholars.uow.edu.au/display/publication50394,Fenghui,Ren,fren,1
https://scholars.uow.edu.au/display/publication50394,Minjie,Zhang,minjie,2
https://scholars.uow.edu.au/display/publication50394,Danny,Sutanto,soetanto,3
https://scholars.uow.edu.au/display/publication105014,Zongqing,Ma,zqma,2
https://scholars.uow.edu.au/display/publication105085,Lionel,Reyftmann,lionelr,5
https://scholars.uow.edu.au/display/publication94181,Peter,Massingham,peterm,1
https://scholars.uow.edu.au/display/publication125768,Annette,Braunack-Mayer,abmayer,4
https://scholars.uow.edu.au/display/publication110309,Shuai,Sun,ssun,2
https://scholars.uow.edu.au/display/publication110309,Weihua,Li,weihuali,3
https://scholars.uow.edu.au/display/publication100978,Peter,Metcalfe,metcalfe,5
https://scholars.uow.edu.au/display/publication100978,Anatoly,Rosenfeld,anatoly,6
https://scholars.uow.edu.au/display/publication100978,Dean,Cutajar,deanc,3
https://scholars.uow.edu.au/display/publication20286,David,Officer,davido,3
https://scholars.uow.edu.au/display/publication20286,Gordon,Wallace,gwallace,2
https://scholars.uow.edu.au/display/publication31341,Mary,Barrett,mbarrett,1
https://scholars.uow.edu.au/display/publication92481,Dongqi,Shi,dongqi,5
https://scholars.uow.edu.au/display/publication92481,Jung Ho,Kim,jhk,4
https://scholars.uow.edu.au/display/publication92481,Shi,Dou,shi,9
https://scholars.uow.edu.au/display/publication92481,S,Dou,shi,9
https://scholars.uow.edu.au/display/publication92481,Xiaolin,Wang,xiaolin,8
https://scholars.uow.edu.au/display/publication86103,Yi,Mu,ymu,2
https://scholars.uow.edu.au/display/publication116065,Song-Ping,Zhu ,spz,1
https://scholars.uow.edu.au/display/publication116065,Xinjiang,He,xinjiang,2
https://scholars.uow.edu.au/display/publication106764,Julie,Steele,jsteele,3
https://scholars.uow.edu.au/display/publication118230,Lisa,Slater,lslater,1
https://scholars.uow.edu.au/display/publication85309,Yi,Mu,ymu,3
https://scholars.uow.edu.au/display/publication5176,Syed,Ashraf,syed,3
https://scholars.uow.edu.au/display/publication5176,Peter,Innis,innis,1
https://scholars.uow.edu.au/display/publication38843,Anne,Cusick,acusick,3
https://scholars.uow.edu.au/display/publication84094,Frank,Neri,fneri,1
https://scholars.uow.edu.au/display/publication84094,Joan,Rodgers,jrrodger,2
https://scholars.uow.edu.au/display/publication109088,Nadia,Solowij,nadia,4
https://scholars.uow.edu.au/display/publication32283,Huijun,Li,huijun,3
https://scholars.uow.edu.au/display/publication32283,Hui,Li,huijun,3
https://scholars.uow.edu.au/display/publication98155,Lee,Moerman,leem,1
https://scholars.uow.edu.au/display/publication38682,Paul,Stapley,pstapley,3
https://scholars.uow.edu.au/display/publication91284,Yi,Mu,ymu,3
https://scholars.uow.edu.au/display/publication91284,Willy,Susilo,wsusilo,2
https://scholars.uow.edu.au/display/publication77772,Adam,Rennie,renniea,3
https://scholars.uow.edu.au/display/publication77772,Alan,Carey,acarey,1
https://scholars.uow.edu.au/display/publication34151,Paul,Else,pelse,3
https://scholars.uow.edu.au/display/publication101860,Wei,Pang,wkpang,7
https://scholars.uow.edu.au/display/publication101860,Zaiping,Guo,zguo,8
https://scholars.uow.edu.au/display/publication43997,Xiaolin,Wang,xiaolin,3
https://scholars.uow.edu.au/display/publication43997,Zhenxiang,Cheng,cheng,2
https://scholars.uow.edu.au/display/publication108027,Darryl,McAndrew,mcandrew,2
https://scholars.uow.edu.au/display/publication37956,Song-Ping,Zhu ,spz,1
https://scholars.uow.edu.au/display/publication99822,Paul,Goldberg,goldberg,4
https://scholars.uow.edu.au/display/publication112160,Qinghua,Guo,qguo,5
https://scholars.uow.edu.au/display/publication125533,Brin,Grenyer,grenyer,5
https://scholars.uow.edu.au/display/publication34735,Colin,Woodroffe,colin,5
https://scholars.uow.edu.au/display/publication34735,Brian,Jones,briangj,4
https://scholars.uow.edu.au/display/publication24414,Muhammad,Hadi,mhadi,1
https://scholars.uow.edu.au/display/publication91741,Kate,Bowles,kbowles,2
https://scholars.uow.edu.au/display/publication110354,Sharon,Robinson,sharonr,4
https://scholars.uow.edu.au/display/publication110354,Kris,French,kris,1
https://scholars.uow.edu.au/display/publication83998,Kay,Crookes,kay,1
https://scholars.uow.edu.au/display/publication79096,Yujin,Qi,yujin,8
https://scholars.uow.edu.au/display/publication104857,Lionel,Reyftmann,lionelr,3
https://scholars.uow.edu.au/display/publication35081,Shi,Dou,shi,3
https://scholars.uow.edu.au/display/publication35081,S,Dou,shi,3
https://scholars.uow.edu.au/display/publication35081,Dongqi,Shi,dongqi,2
https://scholars.uow.edu.au/display/publication87148,David,Camfield,camfield,4
https://scholars.uow.edu.au/display/publication99130,Zengxi,Pan,zengxi,5
https://scholars.uow.edu.au/display/publication99130,Huijun,Li,huijun,4
https://scholars.uow.edu.au/display/publication99130,Hui,Li,huijun,4
